"Company","Job Title","Location","Salary","URL"
"Tapjoy","Data Science Engineer","San Francisco, CA","$129k-$172k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=313794&s=149&guid=00000168a2ff034abc86a9c71d9da6f3&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_ff42202d&cb=1548922848558&jobListingId=3086713065"
"Pure Storage","2019 Software Engineer Intern, Machine Learning","Mountain View, CA","$99k-$164k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=118414&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_5c66af3f&cb=1548922848562&jobListingId=2905847500"
"SurveyMonkey","Vice President, Growth","San Mateo, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=363427&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_30f36eda&cb=1548922848563&jobListingId=3055016015"
"Stripe","Security Threat Ops Engineer","San Francisco, CA","$107k-$155k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=476077&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_0cf0530d&cb=1548922848565&jobListingId=2691175380"
"Twitter","Data Scientist - Metrics Data Science team","San Francisco, CA","$138k-$188k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_bfda5ca3&cb=1548922848566&jobListingId=3028441859"
"Nova Credit","Data Science Internship","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=148364&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_2dcb38de&cb=1548922848568&jobListingId=3096723423"
"TESLA","Supply Chain, Project Management, Data Science, and Analytics Internship/ Co-Op (Summer","Fremont, CA","$56k-$89k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=182759&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_069ae966&cb=1548922848568&jobListingId=3087182853"
"LendingHome","Data Science and Analytics - Summer 2019 Internship","San Francisco, CA","$54k-$87k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=396218&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_af65bddc&cb=1548922848569&jobListingId=2928423746"
"eHealth","Data Science Intern","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4128&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_edcdbae7&cb=1548922848570&jobListingId=3090739954"
"Etsy","Machine Learning Engineer","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=406992&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_771156a4&cb=1548922848571&jobListingId=2747218056"
