"Job Title","Company","Location","Salary","URL"
"Onsite Coordinator","Ergeon","Hayward, CA","","http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFLW3Olgzq1AyhS8S-_L4J__MTsp5XJSQgQ5jlegEZuRov_3ExUZbJ_MW6ZWiq-LSNc6tIjiLOScCe61IVvheGuRKPeZlHc9po2ZPF_3NHtviDPPOx59aiGEMhEYX1__q1p4C1S2AI5woMvXPaUGmohJjS4ZvaIZSP2o8orpE1ObLLBBLlarFheZMTaivrHLT8mnssZ1COQq_TMe31Qlzpj5zUO5x5TaoWS7_IQhTooTpq966P0HRyU2Q75Opfr5q-Nz7WaJZ9pM1rPk5BHsu19_U9pE0qlqtDb5UQJ5b78KL4_OduorKaFWkHDOEbJQDTbVdoJEzitWC3UzIiq4XLSUEFIiHQ5b8yHcUCM_nPiGfJSgRUnlohFxM49AD-iDmOlpyswQi7jVk6xTOqRm2HvV4g4oYgH9zOnXR59gj2KCHkQakhy6XFh2aAkp_mfkuZ75T8VPvUUWJ6Nmo1AAfgE4tfUcIwlmX1i9lS5xEYRnvvcu5pJDjwnmFRQyOeaHyWPR_3vwrvAxmw8QVovMadAyuTiXeCTN9Z-_zsU87QPtMHDSzYotHEvCaHPih7UjGIokOvWlrAE5MAj24sKvmnkwKJIce05lWZwCBSFDw3bb0NRr2lsB_GD9bMOj6ko-wqGaRfoOlD8b1NF91FrGQYDuWY2zpD-4KsH2-XikdzsMlgc6vm5VmBrC67J7JPFxby6Rx2feImsSzUAPQE-m_UHW1tM0ayXrbqHS4uQAvnOzSbExWQK6t4rgbbf4R_BCsxva163kYYPZlmUbi-Y91K&vjs=3&p=3&sk=&fvj=1"
"Data Science Specialist","University of California San Francisco","San Francisco, CA 94104 (Financial District area)","","http://www.indeed.com/rc/clk?jk=d693cd79a88ec4be&fccid=2a341562d64c7cdb&vjs=3"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=70ff1a8174eaf3e8&fccid=4ffdd90de5b0ef8f&vjs=3"
"Data Analytics Undergraduate Intern","Kaiser Permanente","Oakland, CA","","http://www.indeed.com/rc/clk?jk=cbb40ee3f148532f&fccid=48ecd526e3aa3225&vjs=3"
"Machine Learning","Twitter","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=85c036aa0176179d&fccid=7a3824693ee1074b&vjs=3"
"Data Scientist - Machine Learning / Deep Learning Specialist","Upstart","San Carlos, CA","","http://www.indeed.com/rc/clk?jk=556068084738f75b&fccid=655c994c77232147&vjs=3"
"Software Engineer - Machine Learning","Affirm","San Francisco, CA 94126 (Financial District area)","","http://www.indeed.com/rc/clk?jk=ba51b24c9f143e6f&fccid=5cf4e54c5ef78aa7&vjs=3"
"Machine Learning Internship","Walmart eCommerce","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=c702774510734d66&fccid=8c49e99f20f89e48&vjs=3"
"Data Journalist","Mother Jones","San Francisco, CA 94108 (Financial District area)","","http://www.indeed.com/rc/clk?jk=0d2dd0e422b584c6&fccid=358abbca9f316ab6&vjs=3"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan Test Prep","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=64816ab722efa4e5&fccid=4ffdd90de5b0ef8f&vjs=3"
"Software Engineer, Machine Learning","Fathom Health","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=b18bece523d0add0&fccid=9e88642c8c797c72&vjs=3"
